--2019-04-08 21:29:44--  http://ftp.se.debian.org/tails/stable/iuk/Tails_amd64_3.7.1_to_3.8.iuk
Resolving ftp.se.debian.org (ftp.se.debian.org)... 194.71.11.165, 194.71.11.173, 2001:6b0:19::173, ...
Connecting to ftp.se.debian.org (ftp.se.debian.org)|194.71.11.165|:80... connected.
HTTP request sent, awaiting response... 302 Found
Location: http://caesar.ftp.acc.umu.se/tails/stable/iuk/Tails_amd64_3.7.1_to_3.8.iuk [following]
--2019-04-08 21:29:44--  http://caesar.ftp.acc.umu.se/tails/stable/iuk/Tails_amd64_3.7.1_to_3.8.iuk
Resolving caesar.ftp.acc.umu.se (caesar.ftp.acc.umu.se)... 194.71.11.142, 2001:6b0:19::142
Connecting to caesar.ftp.acc.umu.se (caesar.ftp.acc.umu.se)|194.71.11.142|:80... connected.
HTTP request sent, awaiting response... 200 OK
Length: 113336320 (108M)
Saving to: ‘Tails_amd64_3.7.1_to_3.8.iuk.1’

     0K .......... .......... .......... .......... ..........  0%  520K 3m33s
    50K .......... .......... .......... .......... ..........  0% 1.02M 2m39s
   100K .......... .......... .......... .......... ..........  0% 9.91M 1m50s
   150K .......... .......... .......... .......... ..........  0% 86.0M 83s
   200K .......... .......... .......... .......... ..........  0% 1.12M 85s
   250K .......... .......... .......... .......... ..........  0% 12.5M 73s
   300K .......... .......... .......... .......... ..........  0% 62.7M 62s
   350K .......... .......... .......... .......... ..........  0%  140M 55s
   400K .......... .......... .......... .......... ..........  0% 1.16M 59s
   450K .......... .......... .......... .......... ..........  0% 52.6M 53s
   500K .......... .......... .......... .......... ..........  0%  110M 48s
   550K .......... .......... .......... .......... ..........  0% 11.8M 45s
   600K .......... .......... .......... .......... ..........  0%  146M 42s
   650K .......... .......... .......... .......... ..........  0% 84.8M 39s
   700K .......... .......... .......... .......... ..........  0%  129M 36s
   750K .......... .......... .......... .......... ..........  0%  141M 34s
   800K .......... .......... .......... .......... ..........  0%  131M 32s
   850K .......... .......... .......... .......... ..........  0% 1.20M 35s
   900K .......... .......... .......... .......... ..........  0% 55.1M 33s
   950K .......... .......... .......... .......... ..........  0%  122M 32s
  1000K .......... .......... .......... .......... ..........  0% 84.0M 30s
  1050K .......... .......... .......... .......... ..........  0%  151M 29s
  1100K .......... .......... .......... .......... ..........  1%  129M 28s
  1150K .......... .......... .......... .......... ..........  1% 14.8M 27s
  1200K .......... .......... .......... .......... ..........  1%  124M 26s
  1250K .......... .......... .......... .......... ..........  1% 82.6M 25s
  1300K .......... .......... .......... .......... ..........  1%  127M 24s
  1350K .......... .......... .......... .......... ..........  1%  149M 23s
  1400K .......... .......... .......... .......... ..........  1% 86.6M 22s
  1450K .......... .......... .......... .......... ..........  1%  122M 22s
  1500K .......... .......... .......... .......... ..........  1%  137M 21s
  1550K .......... .......... .......... .......... ..........  1% 83.4M 20s
  1600K .......... .......... .......... .......... ..........  1%  127M 20s
  1650K .......... .......... .......... .......... ..........  1%  134M 19s
  1700K .......... .......... .......... .......... ..........  1% 83.6M 19s
  1750K .......... .......... .......... .......... ..........  1% 1.30M 20s
  1800K .......... .......... .......... .......... ..........  1% 60.8M 20s
  1850K .......... .......... .......... .......... ..........  1% 73.5M 19s
  1900K .......... .......... .......... .......... ..........  1%  138M 19s
  1950K .......... .......... .......... .......... ..........  1% 85.5M 18s
  2000K .......... .......... .......... .......... ..........  1%  115M 18s
  2050K .......... .......... .......... .......... ..........  1%  156M 18s
  2100K .......... .......... .......... .......... ..........  1% 82.1M 17s
  2150K .......... .......... .......... .......... ..........  1%  115M 17s
  2200K .......... .......... .......... .......... ..........  2%  146M 16s
  2250K .......... .......... .......... .......... ..........  2% 85.6M 16s
  2300K .......... .......... .......... .......... ..........  2%  126M 16s
  2350K .......... .......... .......... .......... ..........  2% 35.0M 16s
  2400K .......... .......... .......... .......... ..........  2%  129M 15s
  2450K .......... .......... .......... .......... ..........  2%  114M 15s
  2500K .......... .......... .......... .......... ..........  2% 84.7M 15s
  2550K .......... .......... .......... .......... ..........  2% 62.3M 14s
  2600K .......... .......... .......... .......... ..........  2%  130M 14s
  2650K .......... .......... .......... .......... ..........  2% 85.9M 14s
  2700K .......... .......... .......... .......... ..........  2%  126M 14s
  2750K .......... .......... .......... .......... ..........  2%  135M 13s
  2800K .......... .......... .......... .......... ..........  2% 83.0M 13s
  2850K .......... .......... .......... .......... ..........  2%  127M 13s
  2900K .......... .......... .......... .......... ..........  2%  138M 13s
  2950K .......... .......... .......... .......... ..........  2% 82.2M 13s
  3000K .......... .......... .......... .......... ..........  2%  149M 12s
  3050K .......... .......... .......... .......... ..........  2% 1.33M 13s
  3100K .......... .......... .......... .......... ..........  2% 49.2M 13s
  3150K .......... .......... .......... .......... ..........  2% 61.1M 13s
  3200K .......... .......... .......... .......... ..........  2% 64.9M 13s
  3250K .......... .......... .......... .......... ..........  2%  140M 13s
  3300K .......... .......... .......... .......... ..........  3%  154M 12s
  3350K .......... .......... .......... .......... ..........  3% 82.7M 12s
  3400K .......... .......... .......... .......... ..........  3%  123M 12s
  3450K .......... .......... .......... .......... ..........  3%  141M 12s
  3500K .......... .......... .......... .......... ..........  3% 82.2M 12s
  3550K .......... .......... .......... .......... ..........  3%  136M 12s
  3600K .......... .......... .......... .......... ..........  3%  127M 12s
  3650K .......... .......... .......... .......... ..........  3% 83.6M 11s
  3700K .......... .......... .......... .......... ..........  3%  133M 11s
  3750K .......... .......... .......... .......... ..........  3%  130M 11s
  3800K .......... .......... .......... .......... ..........  3% 74.9M 11s
  3850K .......... .......... .......... .......... ..........  3% 72.9M 11s
  3900K .......... .......... .......... .......... ..........  3%  124M 11s
